lat,lon,timestamp,datetime,heart_rate,cadence,power
0.0,0.0,1525023492.0,2018-04-29 17:37:44,64.0,0,0
0.0,0.0,1525023493.0,2018-04-29 17:37:45,65.0,0,0
0.0,0.0,1525023494.0,2018-04-29 17:37:46,65.0,0,43
0.0,0.0,1525023495.0,2018-04-29 17:37:47,67.0,0,104
0.0,0.0,1525023496.0,2018-04-29 17:37:48,69.0,0,145
0.0,0.0,1525023497.0,2018-04-29 17:37:49,69.0,0,162
0.0,0.0,1525023498.0,2018-04-29 17:37:50,70.0,0,130
0.0,0.0,1525023499.0,2018-04-29 17:37:51,75.0,0,137
0.0,0.0,1525023500.0,2018-04-29 17:37:52,77.0,0,172
0.0,0.0,1525023501.0,2018-04-29 17:37:53,77.0,0,226
0.0,0.0,1525023502.0,2018-04-29 17:37:54,81.0,0,242
0.0,0.0,1525023503.0,2018-04-29 17:37:55,86.0,0,210
0.0,0.0,1525023504.0,2018-04-29 17:37:56,86.0,0,188
0.0,0.0,1525023505.0,2018-04-29 17:37:57,89.0,0,180
0.0,0.0,1525023506.0,2018-04-29 17:37:58,89.0,0,187
0.0,0.0,1525023507.0,2018-04-29 17:37:59,95.0,0,186
0.0,0.0,1525023508.0,2018-04-29 17:38:00,95.0,0,177
0.0,0.0,1525023509.0,2018-04-29 17:38:01,97.0,0,168
0.0,0.0,1525023510.0,2018-04-29 17:38:02,98.0,0,169
0.0,0.0,1525023511.0,2018-04-29 17:38:03,98.0,0,154
0.0,0.0,1525023512.0,2018-04-29 17:38:04,100.0,0,153
0.0,0.0,1525023513.0,2018-04-29 17:38:05,101.0,0,153
0.0,0.0,1525023514.0,2018-04-29 17:38:06,101.0,0,158
0.0,0.0,1525023515.0,2018-04-29 17:38:07,104.0,0,161
0.0,0.0,1525023516.0,2018-04-29 17:38:08,104.0,0,162
0.0,0.0,1525023517.0,2018-04-29 17:38:09,104.0,0,162
0.0,0.0,1525023518.0,2018-04-29 17:38:10,104.0,0,161
0.0,0.0,1525023519.0,2018-04-29 17:38:11,106.0,0,167
0.0,0.0,1525023520.0,2018-04-29 17:38:12,106.0,0,169
0.0,0.0,1525023521.0,2018-04-29 17:38:13,106.0,0,168
0.0,0.0,1525023522.0,2018-04-29 17:38:14,106.0,0,172
0.0,0.0,1525023523.0,2018-04-29 17:38:15,107.0,0,178
0.0,0.0,1525023524.0,2018-04-29 17:38:16,108.0,0,177
0.0,0.0,1525023525.0,2018-04-29 17:38:17,108.0,0,174
0.0,0.0,1525023526.0,2018-04-29 17:38:18,108.0,0,173
0.0,0.0,1525023527.0,2018-04-29 17:38:19,109.0,0,166
0.0,0.0,1525023528.0,2018-04-29 17:38:20,111.0,0,169
0.0,0.0,1525023529.0,2018-04-29 17:38:21,112.0,0,168
0.0,0.0,1525023530.0,2018-04-29 17:38:22,113.0,0,168
0.0,0.0,1525023531.0,2018-04-29 17:38:23,113.0,0,167
0.0,0.0,1525023532.0,2018-04-29 17:38:24,113.0,0,169
0.0,0.0,1525023533.0,2018-04-29 17:38:25,113.0,0,164
0.0,0.0,1525023534.0,2018-04-29 17:38:26,113.0,0,158
0.0,0.0,1525023535.0,2018-04-29 17:38:27,115.0,0,157
0.0,0.0,1525023536.0,2018-04-29 17:38:28,116.0,0,151
0.0,0.0,1525023537.0,2018-04-29 17:38:29,116.0,0,152
0.0,0.0,1525023538.0,2018-04-29 17:38:30,116.0,0,161
0.0,0.0,1525023539.0,2018-04-29 17:38:31,116.0,0,169
0.0,0.0,1525023540.0,2018-04-29 17:38:32,116.0,0,168
0.0,0.0,1525023541.0,2018-04-29 17:38:33,116.0,0,165
0.0,0.0,1525023542.0,2018-04-29 17:38:34,116.0,0,162
0.0,0.0,1525023543.0,2018-04-29 17:38:35,115.0,0,159
0.0,0.0,1525023544.0,2018-04-29 17:38:36,115.0,0,153
0.0,0.0,1525023545.0,2018-04-29 17:38:37,115.0,0,164
0.0,0.0,1525023546.0,2018-04-29 17:38:38,115.0,0,173
0.0,0.0,1525023547.0,2018-04-29 17:38:39,115.0,0,179
0.0,0.0,1525023548.0,2018-04-29 17:38:40,115.0,0,176
0.0,0.0,1525023549.0,2018-04-29 17:38:41,116.0,0,170
0.0,0.0,1525023550.0,2018-04-29 17:38:42,116.0,0,173
0.0,0.0,1525023551.0,2018-04-29 17:38:43,116.0,0,172
0.0,0.0,1525023552.0,2018-04-29 17:38:44,116.0,0,168
0.0,0.0,1525023553.0,2018-04-29 17:38:45,116.0,0,160
0.0,0.0,1525023554.0,2018-04-29 17:38:46,116.0,0,159
0.0,0.0,1525023555.0,2018-04-29 17:38:47,116.0,0,157
0.0,0.0,1525023556.0,2018-04-29 17:38:48,116.0,17,163
0.0,0.0,1525023557.0,2018-04-29 17:38:49,116.0,17,169
0.0,0.0,1525023558.0,2018-04-29 17:38:50,116.0,17,166
0.0,0.0,1525023559.0,2018-04-29 17:38:51,116.0,17,167
0.0,0.0,1525023560.0,2018-04-29 17:38:52,116.0,37,164
0.0,0.0,1525023561.0,2018-04-29 17:38:53,116.0,52,158
0.0,0.0,1525023562.0,2018-04-29 17:38:54,116.0,57,159
0.0,0.0,1525023563.0,2018-04-29 17:38:55,116.0,56,166
0.0,0.0,1525023564.0,2018-04-29 17:38:56,116.0,67,168
0.0,0.0,1525023565.0,2018-04-29 17:38:57,116.0,67,169
0.0,0.0,1525023566.0,2018-04-29 17:38:58,116.0,83,167
0.0,0.0,1525023567.0,2018-04-29 17:38:59,116.0,82,165
0.0,0.0,1525023568.0,2018-04-29 17:39:00,116.0,83,164
0.0,0.0,1525023569.0,2018-04-29 17:39:01,116.0,84,169
0.0,0.0,1525023570.0,2018-04-29 17:39:02,116.0,87,179
0.0,0.0,1525023571.0,2018-04-29 17:39:03,116.0,88,177
0.0,0.0,1525023572.0,2018-04-29 17:39:04,117.0,89,176
0.0,0.0,1525023573.0,2018-04-29 17:39:05,117.0,92,172
0.0,0.0,1525023574.0,2018-04-29 17:39:06,117.0,90,169
0.0,0.0,1525023575.0,2018-04-29 17:39:07,118.0,89,167
0.0,0.0,1525023576.0,2018-04-29 17:39:08,118.0,89,168
0.0,0.0,1525023577.0,2018-04-29 17:39:09,118.0,88,170
0.0,0.0,1525023578.0,2018-04-29 17:39:10,118.0,88,169
0.0,0.0,1525023579.0,2018-04-29 17:39:11,118.0,89,167
0.0,0.0,1525023580.0,2018-04-29 17:39:12,118.0,88,163
0.0,0.0,1525023581.0,2018-04-29 17:39:13,118.0,87,164
0.0,0.0,1525023582.0,2018-04-29 17:39:14,118.0,88,165
0.0,0.0,1525023583.0,2018-04-29 17:39:15,120.0,89,162
0.0,0.0,1525023584.0,2018-04-29 17:39:16,120.0,89,163
0.0,0.0,1525023585.0,2018-04-29 17:39:17,120.0,89,163
0.0,0.0,1525023586.0,2018-04-29 17:39:18,120.0,90,169
