lat,lon,timestamp,datetime,heart_rate,cadence,power
51.1774850171,3.9330649842,1525020445.0,2018-04-29 16:47:06,112.0,90.0,175.0
51.1774850171,3.9330649842,1525020446.0,2018-04-29 16:47:07,111.0,90.0,172.0
51.1774850171,3.9330649842,1525020447.0,2018-04-29 16:47:08,112.0,90.0,157.0
51.1774850171,3.9330649842,1525020448.0,2018-04-29 16:47:09,111.0,90.0,164.0
51.1774850171,3.9330649842,1525020449.0,2018-04-29 16:47:10,111.0,89.0,184.0
51.1774850171,3.9330649842,1525020450.0,2018-04-29 16:47:11,111.0,90.0,178.0
51.1774850171,3.9330649842,1525020451.0,2018-04-29 16:47:12,111.0,89.0,179.0
51.1774850171,3.9330649842,1525020452.0,2018-04-29 16:47:13,110.0,89.0,168.0
51.1774850171,3.9330649842,1525020453.0,2018-04-29 16:47:14,110.0,89.0,173.0
51.1774850171,3.9330649842,1525020454.0,2018-04-29 16:47:15,109.0,89.0,167.0
51.1774850171,3.9330649842,1525020455.0,2018-04-29 16:47:16,109.0,89.0,184.0
51.1774850171,3.9330649842,1525020456.0,2018-04-29 16:47:17,109.0,89.0,186.0
51.1774850171,3.9330649842,1525020457.0,2018-04-29 16:47:18,109.0,90.0,205.0
51.1774850171,3.9330649842,1525020458.0,2018-04-29 16:47:19,109.0,92.0,188.0
51.1774850171,3.9330649842,1525020459.0,2018-04-29 16:47:20,109.0,92.0,179.0
51.1774850171,3.9330649842,1525020460.0,2018-04-29 16:47:21,109.0,92.0,169.0
51.1774850171,3.9330649842,1525020461.0,2018-04-29 16:47:22,110.0,91.0,171.0
51.1774850171,3.9330649842,1525020462.0,2018-04-29 16:47:23,110.0,91.0,174.0
51.1774850171,3.9330649842,1525020463.0,2018-04-29 16:47:24,110.0,92.0,178.0
51.1774850171,3.9330649842,1525020464.0,2018-04-29 16:47:25,111.0,91.0,162.0
51.1774850171,3.9330649842,1525020465.0,2018-04-29 16:47:26,112.0,90.0,168.0
51.1774850171,3.9330649842,1525020466.0,2018-04-29 16:47:27,113.0,90.0,178.0
51.1774850171,3.9330649842,1525020467.0,2018-04-29 16:47:28,113.0,91.0,193.0
51.1774850171,3.9330649842,1525020468.0,2018-04-29 16:47:29,114.0,91.0,173.0
51.1774850171,3.9330649842,1525020469.0,2018-04-29 16:47:30,114.0,91.0,180.0
51.1774850171,3.9330649842,1525020470.0,2018-04-29 16:47:31,114.0,90.0,169.0
51.1774850171,3.9330649842,1525020471.0,2018-04-29 16:47:32,114.0,90.0,159.0
51.1774850171,3.9330649842,1525020472.0,2018-04-29 16:47:33,115.0,90.0,167.0
51.1774850171,3.9330649842,1525020473.0,2018-04-29 16:47:34,115.0,90.0,197.0
51.1774850171,3.9330649842,1525020474.0,2018-04-29 16:47:35,115.0,91.0,192.0
51.1774850171,3.9330649842,1525020475.0,2018-04-29 16:47:36,115.0,92.0,197.0
51.1774850171,3.9330649842,1525020476.0,2018-04-29 16:47:37,115.0,93.0,195.0
51.1774850171,3.9330649842,1525020477.0,2018-04-29 16:47:38,115.0,92.0,180.0
51.1774850171,3.9330649842,1525020478.0,2018-04-29 16:47:39,116.0,92.0,154.0
51.1774850171,3.9330649842,1525020479.0,2018-04-29 16:47:40,116.0,91.0,169.0
51.1774850171,3.9330649842,1525020480.0,2018-04-29 16:47:41,116.0,91.0,170.0
51.1774850171,3.9330649842,1525020481.0,2018-04-29 16:47:42,117.0,91.0,166.0
51.1774850171,3.9330649842,1525020482.0,2018-04-29 16:47:43,117.0,90.0,160.0
51.1774850171,3.9330649842,1525020483.0,2018-04-29 16:47:44,116.0,90.0,172.0
51.1774850171,3.9330649842,1525020484.0,2018-04-29 16:47:45,116.0,90.0,172.0
51.1774850171,3.9330649842,1525020485.0,2018-04-29 16:47:46,115.0,90.0,181.0
51.1774850171,3.9330649842,1525020486.0,2018-04-29 16:47:47,115.0,89.0,171.0
51.1774850171,3.9330649842,1525020487.0,2018-04-29 16:47:48,114.0,89.0,173.0
51.1774850171,3.9330649842,1525020488.0,2018-04-29 16:47:49,114.0,89.0,161.0
51.1774850171,3.9330649842,1525020489.0,2018-04-29 16:47:50,114.0,88.0,172.0
51.1774850171,3.9330649842,1525020490.0,2018-04-29 16:47:51,114.0,89.0,179.0
51.1774850171,3.9330649842,1525020491.0,2018-04-29 16:47:52,114.0,89.0,182.0
51.1774850171,3.9330649842,1525020492.0,2018-04-29 16:47:53,114.0,90.0,178.0
51.1774850171,3.9330649842,1525020493.0,2018-04-29 16:47:54,114.0,89.0,179.0
51.1774850171,3.9330649842,1525020494.0,2018-04-29 16:47:55,113.0,90.0,182.0
51.1774850171,3.9330649842,1525020495.0,2018-04-29 16:47:56,113.0,91.0,180.0
51.1774850171,3.9330649842,1525020496.0,2018-04-29 16:47:57,113.0,91.0,165.0
51.1774850171,3.9330649842,1525020497.0,2018-04-29 16:47:58,113.0,91.0,179.0
51.1774850171,3.9330649842,1525020498.0,2018-04-29 16:47:59,112.0,91.0,172.0
51.1774850171,3.9330649842,1525020499.0,2018-04-29 16:48:00,112.0,91.0,183.0
51.1774850171,3.9330649842,1525020500.0,2018-04-29 16:48:01,113.0,91.0,177.0
51.1774850171,3.9330649842,1525020501.0,2018-04-29 16:48:02,113.0,91.0,186.0
51.1774850171,3.9330649842,1525020502.0,2018-04-29 16:48:03,113.0,91.0,172.0
51.1774850171,3.9330649842,1525020503.0,2018-04-29 16:48:04,113.0,92.0,181.0
51.1774850171,3.9330649842,1525020504.0,2018-04-29 16:48:05,113.0,92.0,175.0
51.1774850171,3.9330649842,1525020505.0,2018-04-29 16:48:06,113.0,91.0,174.0
51.1774850171,3.9330649842,1525020506.0,2018-04-29 16:48:07,113.0,92.0,174.0
51.1774850171,3.9330649842,1525020507.0,2018-04-29 16:48:08,113.0,92.0,163.0
51.1774850171,3.9330649842,1525020508.0,2018-04-29 16:48:09,113.0,92.0,180.0
51.1774850171,3.9330649842,1525020509.0,2018-04-29 16:48:10,113.0,92.0,186.0
51.1774850171,3.9330649842,1525020510.0,2018-04-29 16:48:11,113.0,93.0,186.0
51.1774850171,3.9330649842,1525020511.0,2018-04-29 16:48:12,112.0,93.0,185.0
51.1774850171,3.9330649842,1525020512.0,2018-04-29 16:48:13,113.0,94.0,185.0
